timestamp,experiment_id,input_voltage,ground_truth_power_kw,predicted_power_kw,residual,phase,alert_status
909.78,ex_22,3.0,1.1049600508372601,1.239681396484375,-0.1347213456471148,steady_state,normal
910.78,ex_22,3.0,1.17309025284728,1.239681396484375,-0.06659114363709495,steady_state,normal
911.78,ex_22,3.0,1.10357126658424,1.239681396484375,-0.13611012990013482,steady_state,normal
912.78,ex_22,3.0,1.19073311609549,1.239681396484375,-0.04894828038888499,steady_state,normal
913.78,ex_22,3.0,1.1085876763767601,1.239681396484375,-0.13109372010761478,steady_state,normal
914.78,ex_22,3.0,1.1788838702612,1.239681396484375,-0.060797526223175025,steady_state,normal
915.82,ex_22,3.0,1.09381772517318,1.239681396484375,-0.14586367131119493,steady_state,normal
916.86,ex_22,3.0,1.17776365752807,1.239681396484375,-0.06191773895630481,steady_state,normal
917.88,ex_22,3.0,1.10189623825217,1.239681396484375,-0.13778515823220494,steady_state,normal
918.92,ex_22,3.0,1.19075367814609,1.239681396484375,-0.04892771833828502,steady_state,normal
919.92,ex_22,3.0,1.09607673018626,1.239681396484375,-0.14360466629811497,steady_state,normal
920.94,ex_22,3.0,1.18054147243839,1.239681396484375,-0.05913992404598489,steady_state,normal
921.96,ex_22,3.0,1.10441344077884,1.239681396484375,-0.13526795570553496,steady_state,normal
923.04,ex_22,3.0,1.18860496918967,1.239681396484375,-0.05107642729470485,steady_state,normal
924.04,ex_22,3.0,1.1097347638595199,1.239681396484375,-0.12994663262485506,steady_state,normal
925.04,ex_22,3.0,1.1889380733368,1.239681396484375,-0.050743323147574904,steady_state,normal
926.04,ex_22,3.0,1.11814400676614,1.239681396484375,-0.12153738971823502,steady_state,normal
927.04,ex_22,3.0,1.18617412089416,1.239681396484375,-0.05350727559021484,steady_state,normal
928.06,ex_22,3.0,1.10498130874485,1.239681396484375,-0.13470008773952502,steady_state,normal
929.1,ex_22,3.0,1.1906565024909201,1.239681396484375,-0.04902489399345478,steady_state,normal
930.12,ex_22,3.0,1.10306755837113,1.239681396484375,-0.1366138381132449,steady_state,normal
931.16,ex_22,3.0,1.19290243551918,1.239681396484375,-0.04677896096519496,steady_state,normal
932.22,ex_22,3.0,1.1227167846741999,1.239681396484375,-0.11696461181017503,steady_state,normal
933.22,ex_22,3.0,1.1952063922642602,1.239681396484375,-0.044475004220114744,steady_state,normal
934.26,ex_22,3.0,1.10106335271556,1.239681396484375,-0.13861804376881492,steady_state,normal
935.26,ex_22,3.0,1.1950235430667,1.239681396484375,-0.04465785341767492,steady_state,normal
936.28,ex_22,3.0,1.11258805407244,1.239681396484375,-0.12709334241193493,steady_state,normal
937.28,ex_22,3.0,1.19389654794341,1.239681396484375,-0.04578484854096487,steady_state,normal
938.28,ex_22,3.0,1.11216887804146,1.239681396484375,-0.1275125184429149,steady_state,normal
939.28,ex_22,3.0,1.18739485000318,1.239681396484375,-0.05228654648119502,steady_state,normal
