timestamp,experiment_id,input_voltage,ground_truth_power_kw,predicted_power_kw,residual,phase,alert_status
880.3,ex_22,3.0,1.19314071267369,1.2164704943454612,-0.023329781671771244,steady_state,normal
881.3,ex_22,3.0,1.1070664206039,1.2164704943454612,-0.10940407374156114,steady_state,normal
882.3,ex_22,3.0,1.18040676728031,1.2164704943454612,-0.03606372706515115,steady_state,normal
883.3,ex_22,3.0,1.0955514981321302,1.2164704943454612,-0.12091899621333102,steady_state,normal
884.3,ex_22,3.0,1.1770737186214502,1.2164704943454612,-0.03939677572401101,steady_state,normal
885.3,ex_22,3.0,1.10200780071673,1.2164704943454612,-0.11446269362873118,steady_state,normal
886.3,ex_22,3.0,1.1738359283446,1.2164704943454612,-0.04263456600086113,steady_state,normal
887.3,ex_22,3.0,1.10567046412638,1.2164704943454612,-0.11080003021908125,steady_state,normal
888.32,ex_22,3.0,1.1855728179760798,1.2164704943454612,-0.030897676369381344,steady_state,normal
889.34,ex_22,3.0,1.09923027511315,1.2164704943454612,-0.1172402192323112,steady_state,normal
890.36,ex_22,3.0,1.1823641953658501,1.2164704943454612,-0.03410629897961104,steady_state,normal
891.38,ex_22,3.0,1.09389420068849,1.2164704943454612,-0.1225762936569712,steady_state,normal
892.38,ex_22,3.0,1.16723956145382,1.2164704943454612,-0.049230932891641155,steady_state,normal
893.38,ex_22,3.0,1.08543528737274,1.2164704943454612,-0.1310352069727212,steady_state,normal
894.4,ex_22,3.0,1.18486272056461,1.2164704943454612,-0.03160777378085111,steady_state,normal
895.44,ex_22,3.0,1.1021244031280601,1.2164704943454612,-0.11434609121740102,steady_state,normal
896.44,ex_22,3.0,1.16465689006382,1.2164704943454612,-0.05181360428164128,steady_state,normal
897.44,ex_22,3.0,1.0932634646924801,1.2164704943454612,-0.12320702965298103,steady_state,normal
898.44,ex_22,3.0,1.1709054812908701,1.2164704943454612,-0.04556501305459104,steady_state,normal
899.44,ex_22,3.0,1.09878635262938,1.2164704943454612,-0.11768414171608121,steady_state,normal
900.44,ex_22,3.0,1.1716857285451399,1.2164704943454612,-0.04478476580032131,steady_state,normal
901.46,ex_22,3.0,1.0905662080259302,1.2164704943454612,-0.125904286319531,steady_state,normal
902.46,ex_22,3.0,1.17681366224974,1.2164704943454612,-0.03965683209572113,steady_state,normal
903.48,ex_22,3.0,1.09209792292855,1.2164704943454612,-0.12437257141691127,steady_state,normal
